lastSaleDate,year,month,monthName,quarter
2017-08-18 00:00:00+00:00,2017.0,8.0,August,3.0
,,,,
2017-08-17 00:00:00+00:00,2017.0,8.0,August,3.0
2021-02-03 00:00:00+00:00,2021.0,2.0,February,1.0
2013-10-11 00:00:00+00:00,2013.0,10.0,October,4.0
2022-06-06 00:00:00+00:00,2022.0,6.0,June,2.0
2024-10-29 00:00:00+00:00,2024.0,10.0,October,4.0
2000-10-18 00:00:00+00:00,2000.0,10.0,October,4.0
2023-07-13 00:00:00+00:00,2023.0,7.0,July,3.0
1998-04-28 00:00:00+00:00,1998.0,4.0,April,2.0
2022-09-06 00:00:00+00:00,2022.0,9.0,September,3.0
2008-09-05 00:00:00+00:00,2008.0,9.0,September,3.0
2020-06-09 00:00:00+00:00,2020.0,6.0,June,2.0
2020-06-19 00:00:00+00:00,2020.0,6.0,June,2.0
2017-07-28 00:00:00+00:00,2017.0,7.0,July,3.0
1997-09-08 00:00:00+00:00,1997.0,9.0,September,3.0
2013-01-01 00:00:00+00:00,2013.0,1.0,January,1.0
2012-03-29 00:00:00+00:00,2012.0,3.0,March,1.0
2018-03-09 00:00:00+00:00,2018.0,3.0,March,1.0
2023-01-13 00:00:00+00:00,2023.0,1.0,January,1.0
2021-09-16 00:00:00+00:00,2021.0,9.0,September,3.0
2021-08-26 00:00:00+00:00,2021.0,8.0,August,3.0
2001-11-15 00:00:00+00:00,2001.0,11.0,November,4.0
2023-09-08 00:00:00+00:00,2023.0,9.0,September,3.0
2023-06-08 00:00:00+00:00,2023.0,6.0,June,2.0
2017-06-30 00:00:00+00:00,2017.0,6.0,June,2.0
2011-06-13 00:00:00+00:00,2011.0,6.0,June,2.0
2012-06-18 00:00:00+00:00,2012.0,6.0,June,2.0
2019-12-06 00:00:00+00:00,2019.0,12.0,December,4.0
2019-05-14 00:00:00+00:00,2019.0,5.0,May,2.0
2022-01-27 00:00:00+00:00,2022.0,1.0,January,1.0
2001-07-24 00:00:00+00:00,2001.0,7.0,July,3.0
2010-09-24 00:00:00+00:00,2010.0,9.0,September,3.0
2010-06-08 00:00:00+00:00,2010.0,6.0,June,2.0
2021-04-26 00:00:00+00:00,2021.0,4.0,April,2.0
2021-01-13 00:00:00+00:00,2021.0,1.0,January,1.0
2019-11-06 00:00:00+00:00,2019.0,11.0,November,4.0
2022-06-22 00:00:00+00:00,2022.0,6.0,June,2.0
2020-10-08 00:00:00+00:00,2020.0,10.0,October,4.0
2011-07-29 00:00:00+00:00,2011.0,7.0,July,3.0
2009-05-06 00:00:00+00:00,2009.0,5.0,May,2.0
1998-02-05 00:00:00+00:00,1998.0,2.0,February,1.0
2016-01-13 00:00:00+00:00,2016.0,1.0,January,1.0
2020-10-05 00:00:00+00:00,2020.0,10.0,October,4.0
2019-05-31 00:00:00+00:00,2019.0,5.0,May,2.0
2017-06-15 00:00:00+00:00,2017.0,6.0,June,2.0
2022-03-04 00:00:00+00:00,2022.0,3.0,March,1.0
2008-09-12 00:00:00+00:00,2008.0,9.0,September,3.0
2022-01-10 00:00:00+00:00,2022.0,1.0,January,1.0
2017-09-18 00:00:00+00:00,2017.0,9.0,September,3.0
2009-02-19 00:00:00+00:00,2009.0,2.0,February,1.0
2022-02-22 00:00:00+00:00,2022.0,2.0,February,1.0
2023-10-17 00:00:00+00:00,2023.0,10.0,October,4.0
2013-01-09 00:00:00+00:00,2013.0,1.0,January,1.0
2014-12-15 00:00:00+00:00,2014.0,12.0,December,4.0
2012-10-11 00:00:00+00:00,2012.0,10.0,October,4.0
2024-05-22 00:00:00+00:00,2024.0,5.0,May,2.0
2020-05-20 00:00:00+00:00,2020.0,5.0,May,2.0
2005-03-23 00:00:00+00:00,2005.0,3.0,March,1.0
2024-04-15 00:00:00+00:00,2024.0,4.0,April,2.0
2022-11-04 00:00:00+00:00,2022.0,11.0,November,4.0
2005-12-27 00:00:00+00:00,2005.0,12.0,December,4.0
2008-08-15 00:00:00+00:00,2008.0,8.0,August,3.0
2018-09-06 00:00:00+00:00,2018.0,9.0,September,3.0
2009-09-02 00:00:00+00:00,2009.0,9.0,September,3.0
2006-09-14 00:00:00+00:00,2006.0,9.0,September,3.0
2013-08-05 00:00:00+00:00,2013.0,8.0,August,3.0
2011-06-24 00:00:00+00:00,2011.0,6.0,June,2.0
2003-11-14 00:00:00+00:00,2003.0,11.0,November,4.0
2023-06-02 00:00:00+00:00,2023.0,6.0,June,2.0
1997-09-05 00:00:00+00:00,1997.0,9.0,September,3.0
2023-02-15 00:00:00+00:00,2023.0,2.0,February,1.0
2021-08-09 00:00:00+00:00,2021.0,8.0,August,3.0
2021-11-08 00:00:00+00:00,2021.0,11.0,November,4.0
