legalDescription,subdivision
#9 CARLISLE@BRANDON OAKS,BRANDON OAKS - CARLISLE
Not available,Not available
CURTIS SD LOTS 5 & 6,CURTIS SD
VILLAGEWALK AT LAKE NONA UNIT 4A 77/57 LOT 199,VILLAGEWALK AT LAKE NONA UT 4A
CORDOVA ESTATES MCR 574-01,CORDOVA ESTATES
DIST:3 CITY/MUNI/TWP:KENNESAW,Not available
TR 9712 LOT 1*US315PER DOCS81-109227&81-246843&06-193052&UND INT IN,MONTE COLLWOOD CONDOMINIUM
COTTAGES @ TOWNE LAKE PHS 2 UNIT 62,COTTAGE AT TOWNE LAKE PH 02
ROLLING HILLS PT 4B BLOCK 11 LOT 32,ROLLING HILLS
TR=35688 LOTS 1 AND 2 CONDOMINIUM* UNIT 68,SYCAMORE VIEW HOA
1818 PARKWAY CONDO AS DESC IN INST# 2017000132464 PH 1 BLDG A UNIT 122,CAPE SKYLINE
FAIRLAND HTS LOT 38 ALL,FAIRLAND HEIGHTS
LOT 4 LAKE BRANTLEY ISLES 1ST ADD PB 10 PG 22,LAKE BRANTLEY ISLES 1ST ADD
KARLSONS ADD S 1/2 LOTS 1 & 2 SW SW,KARLSONS ADD
WATERSET PHASE 3A-1 & WATERSET BOULEVARD PHASE 2A LOT 4 BLOCK 55,WATERSET PH 3A-1 & WATERSET BLVD PH 2A
HIDDEN VALLEY SEC 3 LT 26 BLK 12,HIDDEN VALLEY
LANDLOT:229 DIST:9 SUBD:CHATSWORTH RESIDENTIAL,CHATSWORTH RESIDENTIAL
"710 9TH ST 2S 139 PLAT ETAL=CHARLES C BLANTON, PHILLIP A BLANTON, ANN B MARTIN & JAMES T BLANTON",Not available
SS JULIET AVE,CONRADS SHIRLEY PARK 3RD ADD
PRESCOTT VALLEY #17 LOT 6974,PRESCOTT VALLEY
UNIT 105 BLDG B13 HIGHLANDS AT STONEGATE NORTH CONDOS SUPPLEMENT 19,HIGHLANDS AT STONEGATE NORTH CONDOS
SYLVAN HEIGHTS ADDN-ARLINGTON BLOCK 15 LOT 3,SYLVAN HEIGHTS ADDN-ARLINGTON
LT 40 BLK 2 PARKSIDE AT PERRY SEC 2,PARKSIDE AT PERRY
LO38 HILBURN TOWNHOMES BM2001-01048,HILBURN TWNHMS
1 12 7,HOLLAND LAND COMPANY S SURV
TRACT # 573 LOT 107,573
