features,propertyType,zoning,feature_id
"{""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,R1,1
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""foundationType"": ""Pier"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Metal""}",Manufactured,Unknown,2
"{""architectureType"": ""Contemporary"", ""exteriorType"": ""Combination"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Floor / Wall"", ""roofType"": ""Asphalt"", ""roomCount"": 4, ""unitCount"": 1}",Single Family,Unknown,3
"{""architectureType"": ""Traditional"", ""exteriorType"": ""Composition"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 1}",Single Family,N-3R,4
NaN,Land,Unknown,5
"{""architectureType"": ""Townhouse"", ""unitCount"": 1}",Single Family,PD,6
"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Concrete"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Basement"", ""heating"": true, ""unitCount"": 1, ""viewType"": ""Water""}",Condo,Unknown,7
NaN,Apartment,Unknown,8
"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick Veneer"", ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,Unknown,9
"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""foundationType"": ""Raised"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air""}",Condo,R1,10
{},Unknown,Unknown,11
"{""cooling"": true, ""exteriorType"": ""Plywood"", ""fireplace"": true, ""fireplaceType"": ""Gas Log"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air""}",Single Family,Unknown,12
"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""fireplaceType"": ""2 Story"", ""floorCount"": 2, ""foundationType"": ""OTHER"", ""garage"": true, ""garageType"": ""Built-in"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 8}",Single Family,R-1,13
NaN,Single Family,Unknown,14
"{""cooling"": true, ""coolingType"": ""Refrigeration"", ""exteriorType"": ""Wood"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 3, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""pool"": true, ""roofType"": ""Concrete Tile"", ""roomCount"": 10, ""unitCount"": 1}",Single Family,R-7,15
"{""architectureType"": ""2+ Story"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Built-in"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Tile"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,Unknown,16
"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Wood"", ""floorCount"": 2, ""foundationType"": ""OTHER"", ""garage"": true, ""garageSpaces"": 15, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Duplex-Triplex,Unknown,17
"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Concrete Block"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""OTHER"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""roofType"": ""Asphalt"", ""roomCount"": 4, ""unitCount"": 1}",Condo,Unknown,18
"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,Unknown,19
"{""architectureType"": ""Colonial"", ""exteriorType"": ""Wood Siding"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Hot Water"", ""roofType"": ""Asphalt"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,Unknown,20
"{""architectureType"": ""Conventional"", ""exteriorType"": ""Brick Veneer"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Radiant"", ""roofType"": ""Shingle"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,R75,21
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""pool"": true, ""roofType"": ""Asphalt"", ""unitCount"": 1}",Single Family,PBD,22
"{""architectureType"": ""Condo / Apartment"", ""unitCount"": 1}",Condo,Unknown,23
NaN,Townhouse,Unknown,24
"{""exteriorType"": ""Aluminum / Vinyl Siding"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Detached Garage"", ""floorCount"": 2}",Single Family,Unknown,25
"{""cooling"": true, ""coolingType"": ""Central"", ""fireplace"": true, ""heating"": true, ""heatingType"": ""Central"", ""pool"": true, ""unitCount"": 1}",Manufactured,Unknown,26
"{""architectureType"": ""Colonial"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Other"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Shingle"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,Unknown,27
"{""architectureType"": ""Condo / Apartment""}",Condo,RM-15,28
"{""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Space""}",Single Family,R2,29
{},Single Family,Unknown,30
"{""exteriorType"": ""Brick"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Shingle""}",Single Family,Unknown,31
"{""unitCount"": 1}",Single Family,B,32
